dauer;status;beginn.monat;female;male;alter;bild
36;0;102;1;0;30;2
8;1;50;1;0;45;2
6;1;1;0;1;26;2
36;0;108;0;1;49;2
2;1;97;0;1;29;2
36;0;85;0;1;53;2
6;1;91;0;1;38;1
3;0;70;0;1;27;2
10;0;115;0;1;38;2
9;0;80;1;0;41;1
4;1;40;1;0;42;1
2;1;112;0;1;44;1
1;0;78;1;0;34;2
4;1;97;0;1;57;1
2;0;23;1;0;41;1
31;0;67;0;1;58;2
10;1;78;0;1;27;2
6;0;32;1;0;37;1
6;0;70;1;0;51;1
2;1;115;0;1;48;2
1;1;64;0;1;41;1
2;0;83;1;0;35;3
11;1;16;0;1;43;2
12;0;49;0;1;58;1
36;0;63;1;0;44;2
7;0;78;1;0;35;1
6;1;104;1;0;27;2
2;1;112;0;1;27;2
7;0;118;1;0;34;1
16;1;75;0;1;33;2
5;1;49;0;1;30;2
2;1;1;0;1;34;1
1;1;1;0;1;34;2
16;0;109;0;1;32;2
11;1;58;1;0;38;2
25;0;100;1;0;51;2
1;1;110;0;1;35;1
18;0;68;1;0;59;1
36;0;59;1;0;50;1
20;0;77;0;1;42;3
8;1;72;0;1;50;2
14;1;91;1;0;49;1
8;1;110;0;1;25;2
7;0;102;1;0;32;1
2;1;25;0;1;40;2
2;0;9;1;0;47;2
3;0;59;1;0;29;2
2;0;123;0;1;42;1
4;1;85;0;1;42;2
15;0;73;0;1;47;2
8;0;61;0;1;45;2
1;1;59;0;1;36;2
12;0;7;1;0;39;1
15;0;94;0;1;44;3
1;1;96;1;0;39;1
3;1;109;0;1;50;2
1;1;88;0;1;38;2
7;0;118;0;1;56;2
1;1;98;0;1;34;1
1;0;96;0;1;46;2
1;0;83;0;1;46;2
16;0;109;0;1;50;1
22;1;91;1;0;44;1
12;1;54;0;1;37;1
8;1;36;0;1;25;2
9;1;34;0;1;54;2
4;1;106;0;1;29;2
4;1;70;1;0;35;1
4;0;113;1;0;54;2
11;1;65;0;1;41;2
2;1;61;0;1;42;2
4;1;71;0;1;53;2
36;0;74;0;1;52;2
2;0;2;1;0;34;1
9;0;107;0;1;48;2
10;1;59;1;0;28;2
9;0;76;0;1;54;3
5;1;90;0;1;44;2
8;0;70;1;0;59;2
1;1;80;0;1;35;2
2;1;15;0;1;25;2
1;1;53;0;1;32;1
7;1;24;0;1;45;2
6;1;17;0;1;47;2
14;1;47;1;0;55;2
1;1;49;0;1;32;2
17;1;97;1;0;46;1
12;0;27;1;0;38;2
2;1;54;0;1;28;2
3;0;12;1;0;32;2
4;1;109;0;1;25;2
3;1;100;0;1;48;3
7;1;110;1;0;36;1
1;0;19;1;0;49;2
2;1;63;1;0;52;2
7;1;2;0;1;35;2
24;0;69;1;0;58;2
8;1;56;1;0;28;1
5;0;32;1;0;57;1
8;1;87;0;1;33;2
16;0;109;0;1;52;2
6;1;24;1;0;25;1
27;1;22;0;1;46;1
2;1;47;0;1;41;2
2;0;123;0;1;28;2
14;1;30;0;1;38;2
4;0;95;1;0;40;2
10;1;110;1;0;39;2
16;0;81;0;1;36;3
11;1;22;1;0;38;1
20;0;53;0;1;58;2
2;0;123;0;1;47;2
30;1;82;0;1;26;3
5;0;120;0;1;57;2
6;0;88;1;0;26;2
13;0;112;1;0;58;1
13;1;64;1;0;39;1
19;0;71;1;0;59;2
22;0;87;1;0;52;2
2;1;28;0;1;36;1
